id,source,date,rating,feedback,sentiment,customer_segment,country
942,NPS Response,2025-10-23,5,onboarded our 50-person team in a week. the templates were really helpful.,Positive,Startup,Canada
943,Support Ticket,2026-04-03,,Permissions bug: guests can see private comments. Potential data leak. Please investigate urgently.,Negative,Enterprise,US
944,Support Ticket,2025-11-02,,"No action needed, just wanted to commend Alex on the support team. Fantastic service.",Positive,Startup,US
945,App Store Review,2025-08-08,2,Bulk edit support is table stakes. Please prioritize.,Negative,Startup,India
946,Support Ticket,2025-11-26,,Dashboard shows blank screen for all users in our Canadian workspace. US workspace fine.,Neutral,Startup,US
947,G2 Review,2025-11-06,2,Email notifications don't thread. My inbox is a disaster zone.,Negative,SMB,India
948,NPS Response,2025-12-10,5,Dashboards are gorgeous and leadership loves the reports. Rare combo.,Positive,Enterprise,Canada
949,Support Ticket,2026-01-16,,Sync with Google Calendar stopped including task titles. Only shows 'New Task'. Broken since Monday.,Negative,SMB,US
950,G2 Review,2026-04-13,5,onboarded our 50-person team in a week. the templates were really helpful.,Positive,Startup,US
951,NPS Response,2025-06-11,1,Still no proper Gantt chart view in 2026. Every PM tool has one. What's the holdup?,Negative,Startup,US
952,G2 Review,2025-08-06,3,Solid middle-of-the-road PM tool. Not sure I'd pay for it if it were my money.,Neutral,Startup,Australia
953,App Store Review,2025-08-25,2,"Mobile experience is brutal - can't drag tasks between columns, can't see comment threads properly. We paid for a trainer because the self-serve onboarding was impossible for non-technical team members. Frustrating.",Negative,Enterprise,Canada
954,Google Play Review,2025-11-07,3,no strong opinion,Neutral,SMB,US
955,NPS Response,2026-02-15,5,The API is solid. We've built several interanl tools on top of it with no issues.,Positive,Enterprise,Canada
956,G2 Review,2025-10-12,3,It's fine.,Neutral,Startup,US
957,G2 Review,2025-11-01,4,This tool has genuinely transformed how our team works. We ship faster and miss fewer deadlines.,Positive,Enterprise,US
958,NPS Response,2025-09-19,3,"Customer support has been fantastic, but we need real gantt charts with dependency management. timeline view isnt enough for complex projects",Neutral,Enterprise,Canada
959,NPS Response,2025-12-04,5,NPS promoter here - I've recommended this to at least 5 other companies.,Positive,SMB,US
960,NPS Response,2026-03-19,4,Huge fan of the automation rules. We've automated so much of our recurring work.,Positive,Startup,Canada
961,Google Play Review,2025-11-10,5,love love love this tool. my whole startup runs on it,Positive,SMB,Australia
962,NPS Response,2025-09-26,5,Our remote team relies on this daily. It's the backbone of our async culture.,Positive,Enterprise,UK
963,Google Play Review,2025-08-26,1,The mobile app UX feels like an afterthought. Desktop is fine but mobile is a joke.,Negative,Startup,US
964,Google Play Review,2025-10-30,1,bulk edit is practically useless. can barely do anything in multi-select mode,Negative,SMB,US
965,App Store Review,2025-09-09,2,Uninstalled.,Negative,SMB,UK
966,App Store Review,2025-04-25,1,slack integration is bare bones. can't veen create tasks from a message without a clunky form.,Negative,Startup,Australia
967,NPS Response,2025-11-22,1,The mobile app crashes every single time I try to attach a file. Reported this 3 months ago. Nothing.,Negative,SMB,India
968,NPS Response,2025-10-30,1,Pricing for Enterprise is absurd. Quoted $180/seat/month. We're a 400-person company. Do the math.,Negative,SMB,US
969,G2 Review,2025-10-20,1,the dashboard is painfully slow when you have more than 500 tasks. my team complains about it constantly.,Negative,Enterprise,US
970,G2 Review,2026-01-23,5,The moblie app has really improved over the last year. Using it daily now without issue.,Positive,Enterprise,UK
971,NPS Response,2026-04-12,3,It's okay. We use it because it's what the company picked. Wouldn't have chosen it personally.,Neutral,SMB,US
972,G2 Review,2026-04-08,1,Zero context on what any of the features do. The tooltips are either missing or useless.,Negative,SMB,India
973,App Store Review,2026-03-04,5,The timeline view (even if it's not a full Gantt) works well enough for our agile squads.,Positive,Enterprise,US
974,Google Play Review,2025-05-06,4,I use it because I have to. It works. That's my review.,Neutral,Enterprise,US
975,Google Play Review,2025-07-02,2,"Please, for the love of God, ship a real Gantt view with drag-to-rescheudle and dependency arrows.",Negative,Startup,India
976,G2 Review,2025-11-22,3,"Moved our entire engineering org over from Jira and productivity measurably increased, but iphone app hasn't worked properly since ios 18. please fix.",Neutral,SMB,US
977,App Store Review,2025-10-21,2,canceling soon Ugh.,Negative,Startup,US
978,G2 Review,2026-03-08,4,It's fine. I wish it were faster but I wish a lot of things.,Neutral,Startup,UK
979,Google Play Review,2026-01-20,2,getting new hires up to speed on this takes way too long. no in-product learning paths at all,Negative,Enterprise,UK
980,Support Ticket,2026-01-06,,Dashboard shows blank screen for all users in our Canadian workspace. US workspace fine.,Negative,Startup,US
981,Google Play Review,2025-08-04,1,Still no proper Gantt chart view in 2026. Every PM tool has one. What's the holdup?,Negative,SMB,India
982,G2 Review,2026-03-04,5,love love love this tool. my whole startup runs on it,Positive,Startup,India
983,NPS Response,2025-09-29,5,The recent AI features are actually useful - auto-summarizing long comment threads saves me 30 mins/day.,Positive,Enterprise,US
984,App Store Review,2025-06-18,5,love love love this tool. my whole startup runs on it Really grateful.,Positive,Enterprise,US
985,App Store Review,2025-07-05,2,Way too expensive for what you get. ClickUp offers more for less.,Negative,SMB,UK
986,NPS Response,2025-06-03,5,The timeline view (even if it's not a full Gantt) works well enough for our agile squads.,Positive,Enterprise,Australia
987,NPS Response,2026-02-15,2,Load times are brutal. Every time I open a large project it takes 10-15 seconds just to render the task list. Frustrating.,Negative,SMB,US
988,Google Play Review,2025-09-09,5,Onboarded our 50-person team in a week. The templates were really helpful.,Positive,Enterprise,UK
989,App Store Review,2025-06-21,1,iPhone app hasn't worked properly since iOS 18. Please fix.,Negative,Startup,India
990,Support Ticket,2026-02-02,,Emails from your app going to spam in Office 365. Any DMARC/DKIM advice?,Neutral,SMB,Australia
991,App Store Review,2025-08-27,5,Permissions are flexible enough for our enterprise setup. Rare for a tool this easy ot use.,Positive,SMB,US
992,Google Play Review,2025-05-18,3,Does the basics well. Power user features are hit or miss.,Neutral,Startup,US
993,NPS Response,2025-08-20,2,Import/export is fine but bulk in-app editing is nonexistent. Major productivity killer. can't customize email vs in-app vs push independently. notification tyranny,Negative,SMB,US
994,Support Ticket,2026-02-11,,Gantt/timeline view keeps resetting zoom level on refresh. Annoying but not blocking.,Negative,Enterprise,UK
995,NPS Response,2025-08-06,5,Permissions are flexible enough for our enterprise setup. Rare for a tool this easy to use. Highly recommend.,Positive,Startup,India
996,G2 Review,2025-10-04,4,Best investment we made this year. ROI was obvious within 30 days.,Positive,Enterprise,India
997,NPS Response,2026-01-19,5,"The kanban viesw are beautifully done. Smooth drag and drop, nice animations, responsive.",Positive,SMB,US
998,Google Play Review,2026-01-26,5,"Simple, powerful, does what we need. 10/10 would recommend to any PM.",Positive,SMB,US
999,Support Ticket,2026-01-04,,Just wanted to say thanks - your support team resolved my SSO issue in under an hour. Amazing.,Positive,SMB,India
1000,App Store Review,2025-08-07,2,Load times are brutal. Every time I open a large project it takes 10-15 seconds just to render the task list.,Negative,Enterprise,India
1001,Google Play Review,2025-07-01,1,UI is cluttered and inconsistent. Different panels have different conventions. Confusing. Frustrating.,Negative,SMB,Australia
1002,App Store Review,2026-03-15,4,"middle of the pack compared to asana and monday. some things better, some worse.",Neutral,Startup,India
1003,G2 Review,2026-02-21,1,"Onboarding was a nightmare. No guided tour, no sample data, just a blank workspace and good luck.",Negative,Startup,India
1004,Support Ticket,2025-09-15,,Permissions bug: guests can see private comments. Potential data leak. Please investigate urgently.,Neutral,SMB,US
1005,Google Play Review,2025-07-04,2,hate the new ui,Negative,Startup,US
1006,G2 Review,2025-08-16,5,Best investment we made this year. ROI was obvious within 30 days.,Positive,Enterprise,Australia
1007,G2 Review,2026-03-21,2,Performance is a real issue for us. Enterprise boards with thousands of tasks basically crawl.,Negative,Enterprise,US
1008,App Store Review,2025-09-10,2,"The UI is fine. Not beautiful, not ugly. Functional.",Neutral,Enterprise,India
1009,NPS Response,2025-12-21,4,been using this for 2 years now and it just keeps getting better. support team is amazing too,Positive,SMB,US
1010,App Store Review,2026-03-10,1,Reporting limitations are killing us. Leadership wants rolled-up views and we can't deliver them.,Negative,SMB,Australia
1011,App Store Review,2025-05-17,4,Very happy customer.,Positive,SMB,India
1012,App Store Review,2025-07-10,1,Too expensive for small teams. We're a 5-person startup and this is eating our budget.,Negative,SMB,US
1013,Google Play Review,2025-11-26,5,NPS promoter here - I've recommended this to at least 5 other companies. 👌,Positive,SMB,UK
1014,App Store Review,2025-05-21,2,It's fine. I wish it were faster but I wish a lot of things.,Neutral,Enterprise,India
1015,NPS Response,2025-10-05,4,"great product, but please, for the love of god, ship a real gantt view with drag-to-reschedule and dependency arrows.",Neutral,SMB,US
1016,Support Ticket,2025-07-20,,Webhooks have stopped firing for status changes. Last successful delivery was Tuesday.,Negative,SMB,India
1017,App Store Review,2025-12-29,2,Too expensive for small teams. We're a 5-person startup and this is eating our budget.,Negative,Startup,India
1018,NPS Response,2025-05-06,2,The recent UI redesign made everything worse. Took me a week to find basic features.,Negative,SMB,Canada
1019,Google Play Review,2026-02-10,3,"Average tool in a crowded market. You could do worse, you could do better.",Neutral,SMB,Canada
1020,G2 Review,2025-12-11,1,Why can't I bulk archive completed tasks? Have to do them one at a time. Insulting. Slack integration is bare bones. Can't even create tasks from a message without a clunky form.,Negative,Startup,US
1021,NPS Response,2025-10-17,3,meh,Neutral,SMB,UK
1022,Support Ticket,2026-03-09,,Webhooks have stopped firing for status changes. Last successful delivery was Tuesday.,Neutral,SMB,UK
1023,Google Play Review,2026-01-19,5,Worth every penny. We've replaced 4 other tools with this one.,Positive,SMB,US
1024,App Store Review,2025-12-23,5,"Love the UI. Clean, intuitive, and my non-technical teammates picked it up in a day.",Positive,SMB,UK
1025,App Store Review,2026-02-22,5,great product. does what it says on the tin and the integrations with github work perfectly,Positive,Startup,US
1026,App Store Review,2025-11-25,5,NPS promoter here - I've recommended this to at least 5 other companies.,Positive,Startup,US
1027,App Store Review,2025-11-21,1,can't customize email vs in-app vs push independently. notification tyranny,Negative,Startup,US
1028,G2 Review,2025-06-24,3,"Worth every penny, but hidden costs everywhere. want sso? pay more. want advanced reporting? pay more. want to breathe? pay more.",Neutral,Enterprise,US
1029,App Store Review,2025-05-31,5,"Simple, powerful, does what we need. 10/10 would recommend to any PM.",Positive,SMB,Canada
1030,Support Ticket,2025-07-26,,Just wanted to say thanks - your support team resolved my SSO issue in under an hour. Amazing.,Positive,SMB,India
1031,Support Ticket,2025-10-15,,"Mobile app version 4.2.1 crashes on open. iOS 18.3, iPhone 14. Fresh install doesnt fix.",Negative,Enterprise,US
1032,Google Play Review,2025-06-13,1,android app force closes whenever i try to edit a task. unusable on mobile rn,Negative,Enterprise,India
1033,Google Play Review,2025-12-06,3,Been using for 6 months. No strong opinion either way.,Neutral,SMB,US
1034,NPS Response,2026-04-11,2,"Mobile experience is brutal - can't drag tasks between columns, can't see comment threads properly.",Negative,Enterprise,Australia
1035,App Store Review,2026-03-12,5,Best investment we made this year. ROI was obvious within 30 days. Really grateful.,Positive,Startup,US
1036,App Store Review,2025-06-20,2,meh. works. moving on,Neutral,Enterprise,Australia
1037,Support Ticket,2025-09-01,,SSO stopped working this morning for our Okta tenant. Several users affected. Urgent.,Negative,Startup,Canada
1038,G2 Review,2025-08-01,5,Great value for small teams. The startup pricing tier is generous. Keep it up!,Positive,SMB,Australia
1039,App Store Review,2025-12-21,3,does roughly what other tools do. no standout features but no major gaps either,Neutral,Startup,India
1040,Google Play Review,2026-03-28,1,Still no proper Gantt chart view in 2026. Every PM tool has one. What's the holdup?,Negative,Enterprise,Canada
1041,G2 Review,2025-11-29,4,Great value for small teams. The startup pricing tier is generous.,Positive,Startup,US
1042,Support Ticket,2025-06-12,,Billing portal showing wrong seat count. We're being charged for 45 when we have 30 active users.,Negative,Startup,Canada
1043,NPS Response,2026-01-09,2,"The API is solid, but broke our workflow with a 'surprise' update. please give warnings before major changes.",Neutral,Enterprise,UK
1044,App Store Review,2025-04-22,2,"It does what I need. Nothing spectacular, but not broken either.",Neutral,SMB,Canada
1045,G2 Review,2025-12-26,1,"Feels like the product is stagnating. Competitors ship weekly, you ship quarterly.",Negative,SMB,US
1046,NPS Response,2025-04-22,1,Pricing for Enterprise is absurd. Quoted $180/seat/month. We're a 400-person company. Do the math.,Negative,Enterprise,US
1047,NPS Response,2025-12-27,1,Broke our workflow with a 'surprise' update. Please give warnings before major changes.,Negative,SMB,Australia
1048,NPS Response,2025-12-30,1,"Mobile app: tiny tap targets, laggy scrolling, and no offline mode. It's 2026, come on.",Negative,SMB,India
1049,App Store Review,2025-07-21,2,i get that you need to make money but $40/seat for what's basically a to-do list is steep.,Negative,Startup,US
1050,NPS Response,2025-12-27,2,I signed up and was immediately overwhelmed. Where do I start? What's a 'workspace' vs a 'project'?,Negative,SMB,US
1051,App Store Review,2025-09-27,4,"Middle of the pack compared to Asana and Monday. Some things better, some worse.",Neutral,SMB,US
1052,NPS Response,2026-03-18,3,"Our team uses it. No major complaints, no raving either.",Neutral,Enterprise,India
1053,Support Ticket,2025-09-13,,2FA reset request: lost access to authenticator app. Can someone verify my identity and reset?,Negative,SMB,Australia
1054,Support Ticket,2025-05-28,,Search returns no results even when I search for exact task names. Index issue?,Neutral,SMB,US
1055,G2 Review,2026-04-08,2,Reporting limitations are killing us. Leadership wants rolled-up views and we can't deliver them.,Negative,Startup,UK
1056,G2 Review,2025-07-18,1,please add bulk delete for god's sake. my archive is full of cruft Please fix.,Negative,Startup,US
1057,Support Ticket,2025-12-12,,Time tracking entries disappeared from last week. Users report entering them but none are saved.,Negative,SMB,US
1058,G2 Review,2025-12-13,1,honestly the performance has gotten worse after the last update. simple page loads feel laggy now Ugh.,Negative,Startup,India
1059,App Store Review,2025-04-23,5,I'm a power user and this tool handles every edge case I've thrown at it.,Positive,Startup,US
1060,NPS Response,2025-11-10,5,This tool has genuinely transformed how our team works. We ship faster and miss fewer deadlines.,Positive,Startup,UK
1061,NPS Response,2025-12-26,5,recommend it.,Positive,SMB,US
1062,G2 Review,2025-07-13,5,The mobile app has really improved over the last year. Using it daily now without issue.,Positive,SMB,Canada
1063,NPS Response,2025-05-31,5,Permissions are flexible enough for our enterprise setup. Rare for a tool this easy to use.,Positive,SMB,US
1064,G2 Review,2025-12-20,2,The mobile app UX feels like an afterthought. Desktop is fine but mobile is a joke.,Negative,SMB,Australia
1065,App Store Review,2025-04-30,5,Dashboards are gorgeous and leadership loves the reports. Rare combo.,Positive,SMB,US
1066,Google Play Review,2026-03-08,5,The mobile app has really improved over the last year. Using it daily now without issue.,Positive,SMB,Australia
1067,G2 Review,2026-03-30,4,"The kanban views are beautifully done. Smooth drag and drop, nice animations, responsive.",Positive,SMB,Canada
1068,G2 Review,2025-11-19,5,"5 stars. been a customer for 4 years, they actually listen to feedback",Positive,Startup,US
1069,NPS Response,2025-10-10,3,Gets the job done. Doesn't blow me away but doesn't annoy me either.,Neutral,Enterprise,Canada
1070,Support Ticket,2026-02-08,,Need data export for our compliance team. How long does a full workspace export typically take?,Negative,Startup,US
1071,App Store Review,2026-03-01,4,Does exactly what I need.,Positive,SMB,US
1072,Support Ticket,2026-03-15,,The Zapier integration is not triggering on task creation. Was working yesterday. Zap ID 8834221.,Negative,SMB,UK
1073,Google Play Review,2025-10-12,5,the timeline view (even if it's not a full gantt) works well enough for our agile squads.,Positive,SMB,India
1074,NPS Response,2025-07-04,4,great product. does what it says on the tin and the integrations with github work perfectly,Positive,Startup,US
1075,App Store Review,2025-08-19,4,does roughly what other tools do. no standout features but no major gaps either,Neutral,SMB,UK
1076,Google Play Review,2026-02-07,1,"Missing a proper Salesforce connector is a dealbreaker for us. Our sales team needs context in CRM. No snooze, no priority filtering, no smart batching. Notifications are a mess.",Negative,Startup,Canada
1077,Support Ticket,2025-09-29,,Gantt/timeline view keeps resetting zoom level on refresh. Annoying but not blocking.,Negative,Enterprise,US
1078,Support Ticket,2025-11-07,,Reports not rendering in PDF format - PNG works fine. Chrome 134.,Negative,SMB,Australia
1079,Support Ticket,2025-11-27,,Webhooks have stopped firing for status changes. Last successful delivery was Tuesday.,Neutral,Enterprise,Canada
1080,NPS Response,2025-08-23,3,"Average tool in a crowded market. You could do worse, you could do better.",Neutral,Startup,Australia
1081,NPS Response,2025-09-04,1,Need pivot tables in reports. Desperately. Been asking for 18 months.,Negative,SMB,US
1082,Support Ticket,2025-12-10,,I need to bulk assign tasks to new owners after a reorg - is there any way to do this via API? 300+ tasks.,Negative,SMB,Canada
1083,Support Ticket,2025-08-16,,Search returns no results even when I search for exact task names. Index issue?,Negative,Startup,US
1084,Support Ticket,2025-06-30,,Permissions bug: guests can see private comments. Potential data leak. Please investigate urgently.,Neutral,Startup,US
1085,G2 Review,2026-04-04,3,"Our team uses it. No major complaints, no raving either.",Neutral,Enterprise,US
1086,NPS Response,2026-03-18,5,The Slack integration works well for us. Comments sync back both ways.,Positive,Startup,India
1087,Google Play Review,2025-06-22,3,"dashboards, automations, integrations - it all just works, but notification overload is real. i muted the entire app and now i miss important stuff",Neutral,SMB,Canada
1088,NPS Response,2026-01-20,2,The dashboard is painfully slow when you have more than 500 tasks. My team complains about it constantly. Getting close to canceling.,Negative,Startup,US
1089,Support Ticket,2025-05-28,,Dashboard shows blank screen for all users in our Canadian workspace. US workspace fine.,Negative,SMB,US
1090,NPS Response,2026-03-03,2,"It does what I need. Nothing spectacular, but not broken either.",Neutral,Enterprise,US
1091,Google Play Review,2025-12-13,1,The setup wizard asks 20 questions then ignores all your answers. What's the point?,Negative,Startup,India
1092,Google Play Review,2025-09-19,5,Our remote team relies on this daily. It's the backbone of our async culture.,Positive,Startup,UK
1093,Google Play Review,2025-08-31,2,"Feels like the product is stagnating. Competitors ship weekly, you ship quarterly. Ugh.",Negative,SMB,India
1094,G2 Review,2025-11-22,5,Does exactly what I need.,Positive,SMB,India
1095,Google Play Review,2026-02-18,4,NPS promoter here - I've recommended this to at least 5 other companies.,Positive,Startup,US
1096,Support Ticket,2025-06-21,,2FA reset request: lost access to authenticator app. Can someone verify my identity and reset?,Negative,SMB,US
1097,G2 Review,2025-11-13,2,ios app is a mess. notifications come through 2 hours late and half the buttons don't work.,Negative,Startup,Canada
1098,App Store Review,2025-06-15,5,no complaints :),Positive,Startup,India
1099,Google Play Review,2025-09-25,5,great product!!,Positive,Enterprise,Canada
1100,Support Ticket,2025-04-26,,Billing portal showing wrong seat count. We're being charged for 45 when we have 30 active users.,Negative,Enterprise,Australia
1101,G2 Review,2026-01-24,2,Still no proper Gantt chart ivew in 2026. Every PM tool has one. What's the holdup? Zero context on what any of the features do. The tooltips are either missing or useless.,Negative,Enterprise,UK
1102,Support Ticket,2026-01-04,,I need to bulk assign tasks to new owners after a reorg - is there any way to do this via API? 300+ tasks.,Negative,Startup,US
1103,Support Ticket,2026-02-26,,Time tracking entries disappeared from last week. Users report entering them but none are saved.,Negative,Startup,US
1104,Support Ticket,2026-02-28,,Please help - I accidentally archived the wrong workspace. Need it restored today.,Neutral,Enterprise,India
1105,Support Ticket,2025-11-25,,Multiple users report that @-mentions are not sending notifications. Tested on 5 accounts.,Negative,SMB,US
1106,G2 Review,2026-01-17,5,Dashboards are gorgeous and leadership loves the reports. Rare combo.,Positive,Startup,Australia
1107,NPS Response,2025-09-08,1,Had to watch 4 YouTube videos (not yours) just to set up a basic kanban board. Insane. Our PMO literally cannot use this tool because there's no proper Gantt. Blocker for enterprise adoption.,Negative,Startup,US
1108,App Store Review,2026-02-23,1,Mobile app kept crashing during our onsite. Had to pull out laptop. Embarrassing.,Negative,SMB,UK
1109,Support Ticket,2026-04-12,,Emails from your app going to spam in Office 365. Any DMARC/DKIM advice?,Negative,SMB,US
1110,App Store Review,2025-05-29,2,Pricing for Enterprise is absurd. Quoted $180/seat/month. We're a 400-person company. Do the math.,Negative,SMB,US
1111,App Store Review,2025-10-04,2,Would rate higher if there were more integrations. Would rate lower if it crashed more. So... middle.,Neutral,Startup,US
1112,G2 Review,2025-11-25,2,Load times are brutal. Every time I open a large project it takes 10-15 seconds just to render the task list.,Negative,SMB,US
1113,App Store Review,2026-01-17,3,Would rate higher if there were more integrations. Would rate lower if it crashed more. So... middle.,Neutral,Enterprise,UK
1114,Google Play Review,2026-03-06,4,love love love this tool. my whole startup runs on it,Positive,SMB,US
1115,Support Ticket,2025-11-29,,Our API key suddenly stopped working with 401 errors. Nothing changed on our side.,Negative,SMB,US
1116,Google Play Review,2025-10-10,5,"Dashboards, automations, integrations - it all just works. Really happy customer.",Positive,SMB,US
1117,App Store Review,2025-09-14,4,Great value for small teams. The startup pricing tier is generous.,Positive,Enterprise,India
1118,Support Ticket,2026-03-09,,Permissions bug: guests can see private comments. Potential data leak. Please investigate urgently.,Negative,SMB,India
1119,G2 Review,2026-03-24,5,been using this for 2 years now and it just keeps getting better. support team is amazing too,Positive,Enterprise,India
1120,Support Ticket,2025-11-28,,"No action needed, just wanted to commend Alex on the support team. Fantastic service.",Positive,SMB,India
1121,Support Ticket,2025-11-30,,API rate limits hit within 60 seconds of our nightly sync. Can we get a temporary bump?,Negative,Enterprise,India
1122,App Store Review,2025-12-26,1,can't customize email vs in-app vs push independently. notification tyranny The HubSpot integration stopped working after their API update and has been broken for 6 weeks.,Negative,Startup,India
1123,App Store Review,2025-11-06,1,Import/export is fine but bulk in-app editing is nonexistent. Major productivity killer.,Negative,SMB,US
1124,Google Play Review,2025-06-30,5,love love love this tool. my whole startup runs on it,Positive,SMB,India
1125,G2 Review,2025-08-22,5,The API is solid. We've built several internal tools on top of it with no issues.,Positive,Enterprise,UK
1126,App Store Review,2025-12-19,5,Onboarded our 50-person team in a week. The templates were really helpful.,Positive,Startup,India
1127,Support Ticket,2026-02-21,,Can't figure out how to restore a deleted project. Team deleted by accident. Please help ASAP.,Neutral,Startup,US
1128,Support Ticket,2025-09-25,,Billing portal showing wrong seat count. We're being charged for 45 when we have 30 active users.,Negative,Enterprise,Canada
1129,Support Ticket,2025-11-06,,Webhooks have stopped firing for status changes. Last successful delivery was Tuesday.,Negative,SMB,UK
1130,NPS Response,2025-08-08,5,Moved our entire engineering org over from Jira and productivity measurably increased. Thank you.,Positive,SMB,Australia
1131,NPS Response,2025-06-25,2,Reporting is the weakest part of this tool by fra. Fix it and you'd have a winner.,Negative,SMB,US
1132,NPS Response,2025-12-12,3,"The timeline view (even if it's not a full Gantt) works well enough for our agile squads, but mobile push notifications are completely broken on android. i've missed three deadlines because of it.",Neutral,Enterprise,US
1133,App Store Review,2026-01-26,5,Moved our entire engineering org over from Jira and productivity measurably increased. Thank you.,Positive,SMB,Australia
1134,Support Ticket,2026-04-03,,Dashboard shows blank screen for all users in our Canadian workspace. US workspace fine.,Negative,SMB,US
1135,Google Play Review,2025-10-31,5,The timeline view (even if it's not a full Gantt) works well enough for our agile squads.,Positive,SMB,Australia
1136,G2 Review,2025-09-17,3,been using for 6 months. no strong opinion eithe rway.,Neutral,SMB,US
1137,G2 Review,2026-03-29,3,"Average tool in a crowded market. You could do worse, you could do better. That's my take.",Neutral,Startup,Australia
1138,Support Ticket,2025-12-05,,Critical issue: some team members' avatars are being cached with the wrong user. Privacy concern.,Neutral,Enterprise,US
1139,NPS Response,2026-02-28,5,The new reporting features are a huge step up. Finally got the dashboards leadership wanted.,Positive,Enterprise,US
1140,Google Play Review,2025-04-25,5,love love love this tool. my whole startup runs on it,Positive,SMB,India
1141,Google Play Review,2025-07-02,2,"slow. so slow. i've timed it at 8 seconds to load my main board. that's unacceptable in 2026. onboarding was a nightmare. no guided tour, no sample data, just a blank workspace and good luck.",Negative,SMB,India
1142,NPS Response,2026-04-04,5,love love love this tool. my whole startup runs on it,Positive,SMB,India
1143,G2 Review,2026-01-21,5,Customer support has been fantastic. Got a response in 20 minutes and the issue was resolved same day.,Positive,SMB,UK
1144,G2 Review,2026-01-19,5,Permissions are flexible enough for our enterprise setup. Rare for a tool this easy to use.,Positive,Startup,UK
1145,Support Ticket,2025-12-25,,Custom field formulas returning #ERROR on all rows after yesterday's maintenance. Can someone look into this?,Negative,SMB,US
1146,App Store Review,2025-07-24,5,Great value for small teams. The startup pricing tier is generous.,Positive,Enterprise,Australia
1147,G2 Review,2025-07-17,4,Huge fan of the automation rules. We've automated so much of our recurring work.,Positive,SMB,UK
1148,G2 Review,2025-08-28,4,Pretty standard project management tool. Has most features you'd expect.,Neutral,Enterprise,US
1149,App Store Review,2025-06-23,3,"Honestly the best PM tool I've used, but notification settings are all-or-nothing. either i get everything or nothing. there's no middle.",Neutral,Startup,US
1150,NPS Response,2026-01-07,4,been using this for 2 years now and it just keeps getting better. support team is amazing too,Positive,Startup,US
1151,App Store Review,2026-01-09,4,"Dashboards, automations, integrations - it all just works. Really happy customer.",Positive,Enterprise,India
1152,Support Ticket,2025-08-09,,"No action needed, just wanted to commend Alex on the support team. Fantastic service.",Positive,Enterprise,UK
1153,NPS Response,2025-09-05,1,Way too expensive for what you get. ClickUp offers more for less.,Negative,SMB,US
1154,App Store Review,2025-09-04,2,"Migrated from Trello. Some things are better, some are worse. Net neutral.",Neutral,SMB,US
1155,Google Play Review,2026-02-25,5,I'm a power user and this tool handles every edge case I've thrown at it.,Positive,SMB,UK
1156,NPS Response,2025-08-19,3,"Onboarded our 50-person team in a week, but no native slack integration in 2026? we still have to use zapier and it's janky as hell.",Neutral,Startup,Canada
1157,NPS Response,2025-11-08,2,Took some getting used to but I'm neutral on it now. Part of my workflow.,Neutral,SMB,US
1158,Support Ticket,2025-05-23,,API rate limits hit within 60 seconds of our nightly sync. Can we get a temporary bump?,Negative,Startup,US
1159,G2 Review,2026-01-06,3,"Moved our entire engineering org over from Jira and productivity measurably increased, but import/export is fine but bulk in-app editing is nonexistent. major productivity killer. That's my take.",Neutral,SMB,UK
1160,NPS Response,2026-03-26,5,love love love this tool. my whole startup runs on it,Positive,SMB,UK
1161,NPS Response,2025-11-24,2,The Chrome extension broke after the last update and nobody's fixing it. Frustrating.,Negative,Startup,US
1162,App Store Review,2025-09-06,2,Cannot mute specific projects. Cannot schedule quiet hours. Cannot filter by priority. Digital noise.,Negative,SMB,UK
1163,Google Play Review,2025-04-25,4,Best investment we made this year. ROI was obvious within 30 days.,Positive,Enterprise,Australia
1164,NPS Response,2025-04-23,1,Permissions model is too coarse. Either someone sees everything or nothing. Need granular controls.,Negative,SMB,US
1165,Google Play Review,2025-07-30,5,This tool has genuinely transformed how our team works. We ship faster and miss fewer deadlines.,Positive,Enterprise,US
1166,Support Ticket,2025-06-28,,"No action needed, just wanted to commend Alex on the support team. Fantastic service.",Positive,Enterprise,UK
1167,Google Play Review,2025-06-10,2,the app is getting slower every month. new 'features' but the core is broken,Negative,Startup,Canada
1168,NPS Response,2025-05-22,2,the app is getting slower every month. new 'features' but the core is broken,Negative,SMB,US
1169,Support Ticket,2025-06-03,,Just wanted to say thanks - your support team resolved my SSO issue in under an hour. Amazing.,Positive,SMB,US
1170,G2 Review,2025-06-28,1,the jira integration constantly breaks our workflow. fields dont map correctly Permissions model is too coarse. Either someone sees everything or nothing. Need granular controls.,Negative,SMB,India
1171,G2 Review,2025-10-22,4,"Best investment we made this year, but iphone app hasn't worked properly since ios 18. please fix.",Neutral,Startup,US
1172,G2 Review,2026-04-05,1,The setup wizard asks 20 questions then ignores all your answers. What's the point?,Negative,Enterprise,India
1173,App Store Review,2026-01-07,3,would rate higher if there were more integrations. would rate lower if it crashed more. so... middle.,Neutral,Startup,US
1174,Google Play Review,2025-06-13,1,Search function barely works. Can't find tasks I know exist.,Negative,Startup,Canada
1175,Google Play Review,2025-09-15,2,"Decent UX, decent reporting, decent everything. Nothing stands out as great or bad.",Neutral,SMB,US
1176,Support Ticket,2026-03-16,,Can you clarify the data residency options for EU customers? We're going through a SOC2 audit.,Neutral,SMB,US
